value,dt0,repudns,tmax,mm1
83,2013-01-31,231,5.8,1
63,2013-02-28,246,6,2
40,2013-03-31,115,6.2,3
22,2013-04-30,69,13.2,4
15,2013-05-31,66,15.9,5
12,2013-06-30,50,19.2,6
12,2013-07-31,47,25.1,7
23,2013-08-31,47,23.5,8
12,2013-09-30,51,19,9
24,2013-10-31,69,16.2,10
16,2013-11-30,82,9.6,11
29,2013-12-31,122,9.7,12
77,2014-01-31,328,9.2,1
108,2014-02-28,308,9.8,2
37,2014-03-31,158,13.4,3
21,2014-04-30,58,15.9,4
23,2014-05-31,54,17.7,5
21,2014-06-30,67,20.8,6
14,2014-07-31,71,24.4,7
14,2014-08-31,48,21,8
19,2014-09-30,67,20.5,9
11,2014-10-31,51,17,10
24,2014-11-30,74,11.9,11
19,2014-12-31,88,8.5,12
57,2015-01-31,168,8,1
47,2015-02-28,174,7.4,2
26,2015-03-31,97,11.1,3
13,2015-04-30,63,15,4
19,2015-05-31,68,16.5,5
11,2015-06-30,61,20.3,6
20,2015-07-31,74,22.5,7
18,2015-08-31,47,22.2,8
12,2015-09-30,55,18.1,9
15,2015-10-31,55,15.1,10
34,2015-11-30,98,13.3,11
25,2015-12-31,110,13.2,12
47,2016-01-31,215,8.7,1
49,2016-02-29,236,8.8,2
65,2016-03-31,196,10,3
22,2016-04-30,145,12.4,4
14,2016-05-31,107,17.7,5
21,2016-06-30,118,19.7,6
17,2016-07-31,65,23.2,7
20,2016-08-31,42,23.9,8
26,2016-09-30,70,21.8,9
24,2016-10-31,67,15,10
26,2016-11-30,61,9.6,11
25,2016-12-31,50,9.4,12
64,2017-01-31,188,6.7,1
79,2017-02-28,183,9.3,2
75,2017-03-31,153,13.4,3
24,2017-04-30,51,14.5,4
30,2017-05-31,56,18.6,5
34,2017-06-30,67,21.9,6
18,2017-07-31,44,22.1,7
28,2017-08-31,41,21.5,8
32,2017-09-30,35,18.3,9
37,2017-10-31,61,16.3,10
,2017-11-30,,10.2,11
,2017-12-31,,7.5,12
,2018-01-31,,8.5,1
,2018-02-28,,9.5,2
,2018-03-31,,10,3
