value,dt0,mm1,af,tmin
3708,2013-01-31,1,16,0.5
3139,2013-02-28,2,9,0.6
2197,2013-03-31,3,16,0.1
2444,2013-04-30,4,11,3.4
1847,2013-05-31,5,1,6.1
3036,2013-06-30,6,0,9.7
747,2013-07-31,7,0,12.8
626,2013-08-31,8,0,13
592,2013-09-30,9,0,10
642,2013-10-31,10,0,9.8
994,2013-11-30,11,2,3.7
709,2013-12-31,12,1,3.1
3585,2014-01-31,1,4,3.1
4308,2014-02-28,2,0,3.8
2859,2014-03-31,3,4,3.4
1595,2014-04-30,4,2,6.3
1012,2014-05-31,5,0,8.7
989,2014-06-30,6,0,10.7
738,2014-07-31,7,0,13.5
600,2014-08-31,8,0,11.8
540,2014-09-30,9,0,11
588,2014-10-31,10,0,9.9
828,2014-11-30,11,3,5.8
705,2014-12-31,12,8,2.8
1737,2015-01-31,1,12,1.3
2056,2015-02-28,2,10,1.2
2136,2015-03-31,3,4,3.1
935,2015-04-30,4,0,4.1
798,2015-05-31,5,2,7.5
926,2015-06-30,6,0,9.5
642,2015-07-31,7,0,12.3
576,2015-08-31,8,0,12.7
754,2015-09-30,9,0,8.6
557,2015-10-31,10,0,7.8
842,2015-11-30,11,2,6.7
934,2015-12-31,12,0,7.6
1977,2016-01-31,1,4,2.6
2730,2016-02-29,2,11,1.9
2633,2016-03-31,3,8,1.9
2213,2016-04-30,4,3,3.6
1558,2016-05-31,5,0,7.8
1119,2016-06-30,6,0,11.4
631,2016-07-31,7,0,13.1
660,2016-08-31,8,0,12.7
608,2016-09-30,9,0,12.6
544,2016-10-31,10,0,7.2
602,2016-11-30,11,6,2.4
632,2016-12-31,12,9,2.4
1667,2017-01-31,1,15,0.5
2671,2017-02-28,2,1,3.8
2935,2017-03-31,3,1,5.2
1301,2017-04-30,4,2,4.8
1185,2017-05-31,5,0,8.8
909,2017-06-30,6,0,12.6
637,2017-07-31,7,0,13.2
648,2017-08-31,8,0,11.9
589,2017-09-30,9,0,9.8
707,2017-10-31,10,0,9.1
,2017-11-30,11,4,3.6
,2017-12-31,12,11,1.9
,2018-01-31,1,7,2.4
,2018-02-28,2,1,3.8
,2018-03-31,3,1,5.2
