 
Provider listing:
    - Long Name -                                             - Short Name -
1   A1 Entertainment S.p.a. (f/k/a Artist First Digital srl)  ArtistFirstsrl
2   ABC Music London Ltd                                      ABCMusicLondonLtd
3   AD Bradley Music Ltd                                      ADBradleyMusicLtd
4   Absolute Marketing International Ltd                      AbsoluteMarketingInternationalLtd
5   Africagent Ltd                                            AfricagentLtd
6   AirWings Publishing                                       AirWingsPublishing
7   Audio Odyssey                                             AudioOdyssey
8   Beggars Group Digital                                     Beggars
9   Bel Air Music                                             BelAirMusic
10  CAROSELLO                                                 CAROSELLO
11  Cadiz Digital                                             Cadiz
12  Cr2 Records Ltd                                           Cr2RecordsLtd
13  Creature Music Ltd                                        CreatureMusicLtd
14  Digital Rights Management New Zealand Limited             DigitalRightsManagementNewZealandLimited
15  Digital World AG                                          DigitalWorldAG
16  Ditto Music                                               DittoMusic
17  East Central One                                          EastCentralOne
18  EmuBands Ltd                                              EmuBands
19  Independent Distribution On Line                          IndependentDistributionOnLine
20  Kudos Records Ltd                                         KudosRecordsLtd
21  La Cupula Music SL (f/w/a La Cupula S.C.P.)               LaCupulaHouseofMusic
22  Lanzadera Musica SCA (f/k/a Producciones Alzur S.L.)      ProduccionesAlzurSL
23  Matador Records                                           Matador
24  MudBrick Media, Inc.                                      MudBrickMediaInc
25  Off Limits                                                OffLimits
26  PLATOON LTD (f/k/a Next Step Inc. Limited)                NextStepIncLimited
27  Pinnacle Entertainment                                    PinnacleEntertainment
28  Pixies / Bamthwok Records                                 Pixies
29  Proper Records                                            Proper
30  Remixed Records                                           RemixedRecords
31  SPV GmbH                                                  SPVGmbH
32  Secret Records Limited t/a Secret Films                   SecretFilms
33  Sharpe Music                                              SharpeMusic
34  Symphonic Distribution                                    SymphonicDistribution
35  Test Music Provider                                       testmusicprovider
36  Tru Thoughts1                                             TruThoughts2
37  UniArte srl / ACV Editori                                 ACVEditori
38  VF Musiques / Tot Ou Tard                                 totoutard
39  Vineyard Music Global                                     Vineyard
