Geographies,Categories,Consumer Expenditure by Income,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 1 - US$ million,210.4,264,275,282.9,249.2,313.9,288.7,296.3,287.7,262.4,247.3,252.7
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 2 - US$ million,385.3,457,502.8,508.6,466.2,599,586.2,602,588.6,545.8,516.9,530.2
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 3 - US$ million,504.8,582.8,657.9,660.3,616.9,800.1,806.5,828.2,812.5,759.4,720.6,740.6
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 4 - US$ million,612.4,693.5,797.6,795.9,753.8,984.3,1013.8,1041,1023.7,962.1,914.3,940.9
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 5 - US$ million,719.2,801.4,936.2,929.7,890.6,1169.7,1226.5,1259.4,1240.8,1171.6,1114.7,1148.3
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 6 - US$ million,832.9,914.3,1083.5,1071.3,1037.2,1369.3,1460,1498.9,1479.3,1402.7,1335.9,1377.5
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 7 - US$ million,962.7,1041,1251.6,1232,1205.4,1599.9,1734.4,1780.4,1760,1675.9,1597.4,1648.8
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 8 - US$ million,1125.1,1196.8,1461.7,1431.8,1417.3,1892,2089,2143.8,2123,2030.5,1936.9,2001.4
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 9 - US$ million,1363.8,1420.6,1770.2,1723.3,1731.1,2327.9,2630.5,2698.5,2677.7,2575.1,2458.4,2543.7
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 10 - US$ million,2026.3,2012.8,2625.2,2518.8,2616.2,3577.9,4266.3,4370.6,4354.6,4237.9,4049.8,4203.4
Indonesia,Consumer Expenditure on Clothing and Footwear,Total - US$ million,8742.8,9384.2,11361.7,11154.6,10984.1,14633.9,16101.9,16519.1,16347.8,15623.3,14892.2,15387.6
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 1 - US$ per household,36.9,45.6,46.8,47.5,41.3,51.3,46.6,47.2,45.2,40.7,37.9,38.2
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 2 - US$ per household,67.5,78.9,85.6,85.4,77.3,97.9,94.6,95.8,92.5,84.6,79.1,80.2
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 3 - US$ per household,88.5,100.6,112,110.9,102.2,130.8,130.1,131.8,127.6,117.7,110.3,112
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 4 - US$ per household,107.4,119.8,135.8,133.7,124.9,160.9,163.5,165.7,160.8,149.2,140,142.3
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 5 - US$ per household,126.1,138.4,159.4,156.1,147.6,191.2,197.9,200.5,194.9,181.6,170.7,173.7
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 6 - US$ per household,146,157.9,184.5,179.9,171.8,223.9,235.5,238.6,232.4,217.5,204.5,208.3
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 7 - US$ per household,168.8,179.8,213.1,206.9,199.7,261.6,279.8,283.4,276.4,259.8,244.5,249.4
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 8 - US$ per household,197.2,206.7,248.9,240.4,234.8,309.3,337,341.2,333.5,314.8,296.5,302.7
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 9 - US$ per household,239.1,245.3,301.4,289.4,286.8,380.6,424.4,429.5,420.6,399.2,376.4,384.7
Indonesia,Consumer Expenditure on Clothing and Footwear,Decile 10 - US$ per household,355.2,347.6,446.9,423,433.5,585,688.2,695.7,684,657,620,635.7
Indonesia,Consumer Expenditure on Clothing and Footwear,Total - US$ per household,153.3,162.1,193.4,187.3,182,239.3,259.8,262.9,256.8,242.2,228,232.7
Indonesia,Consumer Expenditure on Housing,Decile 1 - US$ million,1611.5,2072.1,2539,2949.5,2945.7,3695.8,4110.6,4310.3,4297.2,4173.1,4026.8,4199.2
Indonesia,Consumer Expenditure on Housing,Decile 2 - US$ million,2182.1,2751.8,3434.9,3973.7,4026.9,5089.6,5790.8,6071.4,6067.6,5926.9,5728.3,5980.6
Indonesia,Consumer Expenditure on Housing,Decile 3 - US$ million,2492.2,3114.9,3921.1,4527.9,4619.7,5858.5,6736,7061.7,7064.8,6919.5,6692,6990.4
Indonesia,Consumer Expenditure on Housing,Decile 4 - US$ million,2738.4,3401,4306.7,4966.8,5091.9,6472.6,7497.2,7858.9,7868,7720.3,7469.5,7805.2
Indonesia,Consumer Expenditure on Housing,Decile 5 - US$ million,2959.7,3656.8,4653.2,5361,5517.8,7027.6,8189.4,8583.5,8598.2,8449.2,8177,8546.8
Indonesia,Consumer Expenditure on Housing,Decile 6 - US$ million,3175.7,3905.1,4991.1,5745.1,5934.4,7571.4,8871.6,9297.2,9317.5,9167.9,8874.5,9277.8
Indonesia,Consumer Expenditure on Housing,Decile 7 - US$ million,3402.6,4164.6,5345.8,6148,6373,8145,9595.1,10053.9,10080.1,9930.4,9614,10053.1
Indonesia,Consumer Expenditure on Housing,Decile 8 - US$ million,3662.9,4460.5,5752.4,6609.4,6877.6,8806,10433.8,10930.5,10963.5,10814.5,10470.9,10951.5
Indonesia,Consumer Expenditure on Housing,Decile 9 - US$ million,4008.3,4850.3,6291.6,7220.4,7549.3,9688.1,11561.2,12107.9,12149.9,12002.5,11621.5,12157.9
Indonesia,Consumer Expenditure on Housing,Decile 10 - US$ million,4810.6,5737.1,7542.1,8630.3,9121.2,11765.8,14270.1,14931.8,14994.5,14857.8,14380.9,15052.9
Indonesia,Consumer Expenditure on Housing,Total - US$ million,31044,38114.2,48778,56132.1,58057.6,74120.4,87055.9,91207,91401.2,89962.1,87055.4,91015.4
Indonesia,Consumer Expenditure on Housing,Decile 1 - US$ per household,282.5,357.8,432.3,495.3,488.1,604.2,663.1,686.1,675,647,616.5,635.1
Indonesia,Consumer Expenditure on Housing,Decile 2 - US$ per household,382.5,475.2,584.8,667.3,667.2,832.1,934.2,966.4,953,918.9,877,904.5
Indonesia,Consumer Expenditure on Housing,Decile 3 - US$ per household,436.9,537.9,667.6,760.3,765.4,957.8,1086.7,1124,1109.7,1072.8,1024.5,1057.3
Indonesia,Consumer Expenditure on Housing,Decile 4 - US$ per household,480,587.3,733.2,834.1,843.7,1058.2,1209.5,1250.9,1235.8,1196.9,1143.6,1180.5
Indonesia,Consumer Expenditure on Housing,Decile 5 - US$ per household,518.9,631.5,792.2,900.3,914.2,1149,1321.1,1366.3,1350.5,1310,1251.9,1292.7
Indonesia,Consumer Expenditure on Housing,Decile 6 - US$ per household,556.7,674.4,849.7,964.8,983.2,1237.9,1431.2,1479.9,1463.5,1421.4,1358.6,1403.2
Indonesia,Consumer Expenditure on Housing,Decile 7 - US$ per household,596.5,719.2,910.1,1032.4,1055.9,1331.7,1547.9,1600.3,1583.3,1539.6,1471.9,1520.5
Indonesia,Consumer Expenditure on Housing,Decile 8 - US$ per household,642.1,770.3,979.3,1109.9,1139.5,1439.7,1683.2,1739.8,1722,1676.7,1603.1,1656.4
Indonesia,Consumer Expenditure on Housing,Decile 9 - US$ per household,702.7,837.6,1071.1,1212.5,1250.8,1583.9,1865.1,1927.2,1908.4,1860.9,1779.2,1838.8
Indonesia,Consumer Expenditure on Housing,Decile 10 - US$ per household,843.3,990.8,1284,1449.3,1511.3,1923.6,2302.1,2376.7,2355.2,2303.5,2201.7,2276.7
Indonesia,Consumer Expenditure on Housing,Total - US$ per household,544.2,658.2,830.4,942.6,961.9,1211.8,1404.4,1451.8,1435.6,1394.8,1332.8,1376.6
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 1 - US$ million,160.2,224.4,252.6,301.9,283.8,346.1,350.5,367.1,361.8,342.4,328.2,340
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 2 - US$ million,290.5,387.6,456.8,538.1,523.2,648.3,691,723.9,717.7,688.5,662.4,688.2
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 3 - US$ million,378.8,493.9,594.7,696,687.7,858.5,937.8,982.4,976.7,943.1,908.9,945.5
Indonesia,Consumer Expenditure on Household Goods and Services,Decile 4 - US$ million,458,587.3,718.4,836.7,836.3,1049.8,1167.2,1222.6,1217.8,1181.4,1139.8,1186.9
